"tab_code","表章項目","cat01_code","データの種別","cat02_code","銘柄","area_code","地域","time_code","時間軸（月）","unit","value","annotation","time"
"10","価格","0020","価格","01911","1911 紅茶","01100","札幌市","2024000303","2024年3月","円",111,NA,2024-03-01
"10","価格","0020","価格","01911","1911 紅茶","01100","札幌市","2024000202","2024年2月","円",124,NA,2024-02-01
"10","価格","0020","価格","01911","1911 紅茶","01100","札幌市","2024000101","2024年1月","円",124,NA,2024-01-01
"10","価格","0020","価格","01911","1911 紅茶","01100","札幌市","2023001212","2023年12月","円",124,NA,2023-12-01
"10","価格","0020","価格","01911","1911 紅茶","01100","札幌市","2023001111","2023年11月","円",124,NA,2023-11-01
"10","価格","0020","価格","01911","1911 紅茶","01100","札幌市","2023001010","2023年10月","円",124,NA,2023-10-01
"10","価格","0020","価格","01911","1911 紅茶","01100","札幌市","2023000909","2023年9月","円",107,NA,2023-09-01
"10","価格","0020","価格","01911","1911 紅茶","01100","札幌市","2023000808","2023年8月","円",107,NA,2023-08-01
"10","価格","0020","価格","01911","1911 紅茶","01100","札幌市","2023000707","2023年7月","円",107,NA,2023-07-01
"10","価格","0020","価格","01911","1911 紅茶","01100","札幌市","2023000606","2023年6月","円",107,NA,2023-06-01
"10","価格","0020","価格","01911","1911 紅茶","01100","札幌市","2023000505","2023年5月","円",107,NA,2023-05-01
"10","価格","0020","価格","01911","1911 紅茶","01100","札幌市","2023000404","2023年4月","円",107,NA,2023-04-01
"10","価格","0020","価格","01911","1911 紅茶","01100","札幌市","2023000303","2023年3月","円",107,NA,2023-03-01
"10","価格","0020","価格","01911","1911 紅茶","01100","札幌市","2023000202","2023年2月","円",107,NA,2023-02-01
"10","価格","0020","価格","01911","1911 紅茶","01100","札幌市","2023000101","2023年1月","円",107,NA,2023-01-01
"10","価格","0020","価格","01911","1911 紅茶","01100","札幌市","2022001212","2022年12月","円",107,NA,2022-12-01
"10","価格","0020","価格","01911","1911 紅茶","01100","札幌市","2022001111","2022年11月","円",107,NA,2022-11-01
"10","価格","0020","価格","01911","1911 紅茶","01100","札幌市","2022001010","2022年10月","円",107,NA,2022-10-01
"10","価格","0020","価格","01911","1911 紅茶","01100","札幌市","2022000909","2022年9月","円",107,NA,2022-09-01
"10","価格","0020","価格","01911","1911 紅茶","01100","札幌市","2022000808","2022年8月","円",107,NA,2022-08-01
"10","価格","0020","価格","01911","1911 紅茶","01100","札幌市","2022000707","2022年7月","円",107,NA,2022-07-01
"10","価格","0020","価格","01911","1911 紅茶","01100","札幌市","2022000606","2022年6月","円",107,NA,2022-06-01
"10","価格","0020","価格","01911","1911 紅茶","01100","札幌市","2022000505","2022年5月","円",107,NA,2022-05-01
